1.1000,事柄,137
1.1010,こそあど・他,51
1.1030,真偽・是非,101
1.1040,本体・代理,116
1.1100,類・例,112
1.1101,等級・系列,154
1.1110,関係,89
1.1111,本末,63
1.1112,因果,149
1.1113,理由・目的・証拠,104
1.1120,相対,79
1.1130,異同・類似,167
1.1131,連絡・所属,76
1.1200,存在,116
1.1210,出没,115
1.1211,発生・復活,101
1.1220,成立,120
1.1240,保存,61
1.1250,消滅,66
1.1251,除去,100
1.1300,様相・情勢,149
1.1302,趣・調子,155
1.1310,風・観・姿,120
1.1320,内容・構成,58
1.1330,性質,221
1.1331,特徴,112
1.1332,良不良・適不適,62
1.1340,調和・混乱,108
1.1341,弛緩・粗密・繁簡,58
1.1342,調節,53
1.1344,支障・損じ・荒廃,24
1.1345,美醜,45
1.1346,難易・安危,87
1.1400,力,63
1.1401,弾力・動力・圧力など,76
1.1402,物力・権力・体力など,67
1.1403,勢い,33
1.1500,作用・変化,247
1.1501,変換・交換,73
1.1502,開始,59
1.1503,終了・中止・停止,168
1.1504,連続・反復,75
1.1510,動き,64
1.1511,動揺・回転,37
1.1513,固定・傾き・転倒など,74
1.1520,進行・過程・経由,192
1.1521,移動・発着,141
1.1522,走り・飛び・流れなど,99
1.1523,巡回など,45
1.1524,通過・普及など,73
1.1525,連れ・導き・追い・逃げなど,111
1.1526,進退,103
1.1527,往復,164
1.1530,出入り,7
1.1531,出・出し,115
1.1532,入り・入れ,130
1.1533,漏れ・吸入など,33
1.1535,包み・覆いなど,36
1.1540,上がり・下がり,83
1.1541,乗り降り・浮き沈み,88
1.1550,合体・出会い・集合など,108
1.1551,統一・組み合わせ,50
1.1552,分割・分裂・分散,72
1.1553,開閉・封,49
1.1560,接近・接触・隔離,116
1.1561,当たり・打ちなど,50
1.1562,突き・押し・引き・すれなど,55
1.1563,防止・妨害・回避,121
1.1570,成形・変形,148
1.1571,切断,46
1.1572,破壊,64
1.1573,配列・排列,26
1.1580,増減・補充,190
1.1581,伸縮,48
1.1583,進歩・衰退,85
1.1584,限定・優劣,64
1.1600,時間,150
1.1611,時機・時刻,206
1.1612,毎日・毎度,78
1.1620,期間,109
1.1621,永久・一生,51
1.1622,年配,83
1.1623,時代,167
1.1624,季節,97
1.1630,年,60
1.1631,月,38
1.1632,週・週日,40
1.1633,日,90
1.1634,節・節日,120
1.1635,朝晩,154
1.1640,古今,10
1.1641,現在,55
1.1642,過去,101
1.1643,未来,67
1.1650,順序,136
1.1651,終始,148
1.1652,途中・盛り,74
1.1660,新旧・遅速,70
1.1670,時間的前後,89
1.1671,即時,34
1.1680,日程・日課,12
1.1690,場合,104
1.1700,空間・場所,252
1.1710,点,110
1.1711,線,126
1.1720,範囲・席・跡,222
1.1721,境・間,49
1.1730,方向・方角,181
1.1740,左右・前後・たてよこ,106
1.1741,上下,95
1.1742,中・隅・端,149
1.1750,面・側・表裏,111
1.1770,内外,138
1.1771,奥・底・陰,53
1.1780,ふち・そば・まわり・沿い,143
1.1800,形・型・姿・構え,251
1.1810,角など,31
1.1820,玉・凹凸・うず・しわなど,123
1.1830,穴・口,104
1.1840,模様・目,128
1.1850,束・片・列・わく,102
1.1900,量,66
1.1901,値・額,116
1.1902,数,128
1.1903,整数・対数など,81
1.1910,多少,128
